[2025-01-28T23:18:57.479Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"Missing refreshToken"}
[2025-01-28T23:18:57.482Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"successful"}
[2025-01-28T23:18:57.490Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"successful"}
[2025-01-28T23:28:10.222Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T23:29:32.973Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-29T12:43:56.210Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T12:45:23.082Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-29T12:46:25.567Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T13:03:44.904Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T13:09:06.768Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T13:11:01.231Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T13:11:01.321Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T13:13:39.124Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T13:19:50.268Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-29T13:29:40.890Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"Missing refreshToken"}
[2025-01-29T13:29:40.893Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"successful"}
[2025-01-29T14:06:57.866Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T14:14:34.923Z] User: Brown | Action: login | Details: {"username":"Brown","userRole":"coordinator","status":"successful"}
[2025-01-29T14:23:05.377Z] User: Brown | Action: login | Details: {"username":"Brown","userRole":"coordinator","status":"successful"}
[2025-01-29T14:26:42.458Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T14:30:25.729Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"Missing refreshToken"}
[2025-01-29T14:30:25.733Z] User: Johnson | Action: logout | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T14:30:31.569Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T14:38:47.829Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Empty request"}
[2025-01-29T14:38:47.836Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"failed","reason":"Wrong refreshToken"}
[2025-01-29T14:38:47.842Z] User: Johnson | Action: refreshToken | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:30:36.041Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T15:33:57.714Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:33:59.307Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:33:59.645Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:00.051Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:16.485Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:17.586Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:21.108Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:21.451Z] User: Johnson | Action: getTruckByLicensePlateRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:25.697Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:27.513Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:35.642Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:36.076Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:39.324Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:39.845Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:41.139Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:41.535Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:42.021Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:43.048Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:34:44.139Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:41:52.988Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-29T15:42:06.062Z] User: Johnson | Action: login | Details: {"username":"Johnson","userRole":"coordinator","status":"successful"}
[2025-01-29T15:42:32.575Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:43:08.074Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:43:08.636Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:44:32.865Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
[2025-01-29T15:44:33.516Z] User: Johnson | Action: getDriversBySurnameRoute | Details: {"username":"Johnson","role":"coordinator","status":"successful"}
